127.0.0.1 - - [11/Oct/2019:09:04:30 -0700] "GET / HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:04:32 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:04:32 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:04:32 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:04:32 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:04:32 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:20 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:20 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:20 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:20 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:21 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:21 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:21 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:21 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:31 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:31 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:31 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:05:58 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/SearchResults.jsp?search-bar=&submit=Search%21 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:17:10 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:17:10 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:17:10 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:17:10 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:17:10 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:17:13 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/SearchResults.jsp?search-bar=book&submit=Search%21 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:21:38 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:21:38 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:21:38 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:21:38 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:21:41 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/SearchResults.jsp?search-bar=book&submit=Search%21 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:19 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp?search-bar=book&submit=Search%21 HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:19 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:19 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp?search-bar=book&submit=Search%21 HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:22:22 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:30:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:30:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:30:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:30:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:23 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:24 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:25 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:30 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:30 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:30 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/background.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:51 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:51 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:51 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:51 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:52 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/bookworm.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:34:54 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/bookworm.png HTTP/1.1" 404 1131
