127.0.0.1 - - [27/Nov/2019:22:31:20 -0800] "GET / HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:31:21 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.jsp HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:31:21 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.css HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:31:40 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.jsp HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:31:40 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.css HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:01 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LoginPage.jsp HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:01 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LoginPage.css HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:03 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterPage.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:03 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterPage.css HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:04 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.jsp HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:05 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:07 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LoginPage.jsp HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:19 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LoginServlet?username=Yang&password=12345&submit=Submit HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:26 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterPage.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:35 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterServlet?username=Yang&password=123&confirm=123&submit=Register HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:34:35 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:42:23 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterServlet?username=Yang&password=123&confirm=123&submit=Register HTTP/1.1" 200 7323
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:42:54 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterServlet?username=Yang&password=123&confirm=123&submit=Register HTTP/1.1" 200 7323
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:42:54 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/background1.jpg HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:43:08 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:15 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterServlet?username=Yang&password=123&confirm=123&submit=Register HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:15 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/images/background1.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:16 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:30 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/RegisterServlet?username=Yang&password=123&confirm=123&submit=Register HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:31 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/images/background1.jpg HTTP/1.1" 200 1319114
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:31 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:46 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.jsp HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:48 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LogoutServlet HTTP/1.1" 200 7185
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:50 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LoginPage.jsp HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:50 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/LoginPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2019:22:45:53 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Homepage.jsp HTTP/1.1" 200 7185
